,tweet,label
69,moffettmm just got done with my last final and i'm walkin around campus like i own this place queer,1
70,my fish died you dammn weed potheads are annoying af on twitter weed and pot are the same thing faggot,1
71,nihao rocky who is she TAG y'all hype that bread loaf chick up but i'm a chill a dyke rapper,1
72,niggaimtatted cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga,1
73,nochillpaz white kids favorite activities calling people niggers on xbox fucking their pet shooting up their school,1
74,simplyhype TAG shut the fuck up you fucking trash nigga work on another ring,1
75,tp three TAG TAG damn they got wifey fall back nigga i don't share my hoes,1
76,bitchbuh shoot that nigga and his shorty bitch,1
77,honeysays my phone charging backwards retarded,1
78,alicia you aint special niglet TAG when i'm chilling wit greg ppl walk up to me to ask me to take pics hatin,1
79,boojieque rt TAG lemme find out you niggaz letting bitches shit on yo faces niggas is weirdos,1
80,dnumberbefore vice fly TAG u a regular nig u played out b lol ima b ig famous these days that counts for somethin,1
81,iamkrause no need to thank me killing niggers is it's own reward dis my pal from our graduation when we was,1
82,kaylendenise i hate that bitch amp the fact that oomf likes her just no retweeettt x,1
83,kitty hello TAG bitch ass nigga fuck you lt these hoes ain't got no manners TAG,1
84,medaoriginbitch that one friend who you greet with an insult TAG TAG niggers,1
85,rocafella waymoflydenu if fleek in yo vocabulary you a faggot,1
86,spannerhead TAG TAG TAG,1
87,thejanicexxx o u unfollowed me so i can't dm u so i'll say it here you're a rude cunt lmao you can dm me,1
88,ttevy i want affection but i also want to be left alone do you see the issue here fag,1
89,waymoflydenu why yall think its ok to be faggots and want us to be cool with them,1
90,amp when they say him they mean dyke ron TAG,1
91,don't sleep on ma niggah chood TAG,1
92,happppppy birthdayyyy lol niggahs is really in this bitch,1
93,if this ugly ass niggah can be with her i can too tf she with chuu baka for anyways this niggah look like a,1
94,this niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song,1
95,damn you whitey you'll get a kick out of the newest form of white privilege,1
96,goes to olive garden turns into a cracker giacier goes black friday shopping turns into a nigger,1
97,kirogx me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga,1
98,gt rt TAG TAG ankle socks in general are for the faggots bro,1
99,aaaaaaaaand it begins TAG fucking niggers that's all kentucky is and ever will be,1
100,you're white aren't you rolls eyes TAG TAG rip to my nigga trayvon a worthless spear chucker,1
101,beer queer,1
102,hoes dyke,1
103,old hoes a ponk and a dyke outchea having girl talk,1
104,white men in pick up trucks screaming nigger and my coach got the nerve to get mad i missed the free throw,1
105,mo TAG let kill some crackers kill their babies new black panthers hijack his TAG presser,1
106,professor i bet he's a starbucks queer,1
107,samanthakay good enough fag,1
108,agreasymonkey TAG faggot,1
109,alfieheydrich but i live in the south lot more here my pop lives in rhode island hardly no niggers there,1
110,alicia so basically you like the background music fag,1
111,americanwhitehm i hate that nigger,1
112,americanwhitehm those niggers disgust me they should have dealt with years ago we wouldn't be having these problems now,1
113,anuglynigga this is retarded,1
114,andreberto can't wait for more peds is that it roid munching faggot,1
115,andrewjburns TAG homo ass crackers,1
116,animeking fight me on ur choice of game faggot see what happens,1
117,anony TAG TAG they are wrong you are a nigger always causung mischief among ur own people,1
118,anthonycumia you be totally correct anthony can t be livin round dem colored folk day be bringin down da hood and dem propery value,1
119,antoniofrench the you re going have kill crackers amp their babies new black panthers TAG TAG TAG,1
120,arbogucci guys not supposed to get their ass sucked queer,1
121,aryanliving welcome to the movement anyone who gets even minor publicity is a queer fed or jew well according to the internet,1
122,atblackface TAG TAG TAG TAG TAG ape fuck u broke ass racist,1
123,austing i do not like talking to you faggot and i did but in a nicely way fag,1
124,austing answer my snapchat faggot TAG,1
125,ayefuckwoody TAG do i literally eat asshole for a living is that what i actually do faggot you seem a little confused,1
126,bgally so ur faggot teammate TAG hits someone late like that and u say he's yapping and yelling u guys def in the room,1
127,barackobama TAG send them damn beaners back where they belong n the us aint it,1
128,barbod fcb TAG TAG cracker jack shut the fuck up,1
129,beyondtomcat you'd like that wouldn't you fag,1
130,bidenshairplugs he looks like a fag and his time line is boring zzzzzz,1
131,billionairecrow TAG your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,1
132,blackman tide lmfao go to bed whitey,1
133,bloggerboxing TAG pass the fosters faggot,1
134,bloggerboxing yea what did it do for maidana it made him a greedy faggot loser atleast broner is black,1
135,bossace TAG TAG yea u stupid faggot i'm not leaving till like pm want a ride,1
136,bossmelle never followed him ignorant monkey,1
137,braxcity TAG TAG of a citizen i said it for you maria you spic,1
138,breeolson TAG your a nasty nigger whore,1
139,brenddan they said some bullshit damn niggers,1
140,brenddan wow are you comin back up here they some bitch niggas,1
141,briana rashae i'd like to rape the bitch that posted that,1
142,brice fuck you faggot,1
143,brizgotti these new nigga hipster hypebeasts love all these faggot ass bright colors and nike keeps giving them what they want smh,1
144,buckm se TAG sand nigger ran over some kidd,1
145,buckm se i don't like the sand nigger but it's entertaining like knockdowns,1
146,buckm se joe cortez is the ultimate faggot that fight proved it,1
147,buckm se all us beaners were pissed like robert when the jew ref stopped it,1
148,buckm se true sand niggers amp bum brits claim he's a atg hall of fame legend smh,1
149,cbsthismorning TAG racist TAG tx trash racist why wld u intvw TAG n ask racist questions itwas so disrespectful,1
150,charlesbarrkley hey sir house nigger uncle tom aren't you from grand ole mississippi i rest my case,1
151,campos uli is a fag TAG,1
152,carelessone you styl gotta get dem tweets off my nig,1
153,chalecarlo fuck outta here and go put some more trash ass ink on your faggot ass self pussy,1
154,chalecarlo stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot,1
155,chandailbailey TAG TAG you need to accept the fact that you're both hipster faggots,1
156,charleeredz your gay stfu dumb monkey,1
157,chasebasford chase you god damn faggot,1
158,checha be gone my nigguh,1
159,cheesus TAG faaaaggggottttt speaking with the blonde hair and confused you're a hypocrite cuz you're a faggot,1
160,chink shut up chink,1
161,chris anzueto TAG you call someone a faggot and then say to kill themselves you are a pathetic human being a fucking disgrace,1
162,christian esem you don't know what your talking about retarded faggot,1
163,cody smith true i miss yall man yall are my brothers is mikey starting and what about the chink lmfao,1
164,crackerjhak because you're a fag,1
165,cssalazar wetback,1
166,darealalexinla TAG TAG the nig is fun to watch got to admit ebola boy can speak broken spanish too lol,1
167,dangitstiff you look like fucking shrek bitch,1
168,danielsizelove TAG get on cunt,1
169,dariendaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,1
170,darienbaby xoxo jk i'd fuck a dog before i fuck you fish pussy,1
171,datboyrayt because if you support lesbians you have to support faggots there's no difference,1
172,davethebrave that hoe on some other shit bro and x better rn that a nigga high,1
173,deeznutsdoe i'd hate feeling like a faggot too punk ass hoe,1
174,deeznutsdoe how about you wash my butthole out with your tongue you little faggot,1
175,defendwallst whatever fuck all those assholes they're niggers they all look alike to me,1
176,defendwallst those little TAG faggots usually have bags over their heads anyway makes bullet placement interesting thru a scope,1
177,derek kirchner TAG fags,1
178,destrothenoble TAG purple amp pink for the faggots who want to be protected by the police instead of bearing arms if need be,1
179,devilfzyq TAG TAG shut up fag,1
180,djchubbeswagg this like a retarded wu-tang clan,1
181,dolangang beans u beaner,1
182,dolangang you wouldn't know fag,1
183,donnerkay TAG an enraged lb mike brown lethal weapon on legs his hatred the police amp whitey added fuel his arsenal,1
184,drfreezeburnn TAG i just learned how many retards you can find when you search trending topics,1
185,drfreezeburnn that's not bias it's an objective fact that philly fans are cunts,1
186,eleycome eleygo TAG movies don't matter as long as you do coon shit with coons you're a nigga,1
187,englishbrit sounds like a good idea but i want my word to be spread jews niggers and commies alike,1
188,erintaylor TAG you both sure do you want to give a free pass to every border jumper in this country you two are what's wrong here,1
189,evanbecker TAG TAG TAG TAG TAG because she's a nigger,1
190,evandmyers TAG you have a redneck attitude the same people that think benghazzi is real think fox fake nws is real your one,1
191,fardousaa becuz no man should celebrate his bday at a drreams TAG,1
192,fit lifemike TAG hoe don't make me put up screenshots of your texts to me hoe,1
193,flow jus wanted to let y ll know hope the hurricane kills your soca sunday trash TAG,1
194,frankiejgrande ew queer white thirsty bitch,1
195,frankiejgrande fugly queer white trash,1
196,frankiejgrande omg gtfo white faggot,1
197,freddyamazin ratchet looking nigger,1
198,freeajay you understand you look like a real life dyke right like you look like a wnba dyke bro a sports bra amp bball shorts wearing dyke,1
199,fromtheshwa yes now get off twitter you lame negros should have never learned how to use the internet,1
200,fuckboirik hahahaha youza fuck wigger,1
201,fugazi leave you beaner retard,1
202,garner heyyyyyyyyyyy fag boy am i gonna watch you play,1
203,genetnbarockbox says the old man :( i hope you can survive another years you silly jigga boo monkey,1
204,glitteredinpink hoe don't tweet me,1
205,godaddy hope you guys do get attacked for supporting sopa bunch of dirty snake faggots,1
206,god loves biebs go pray in a church or something fag no one cares about your religious bullshit,1
207,godsmack music TAG TAG that band is white trash and only white trash would buy that album,1
208,gossipcop julie tell them crybaby blacks to get someone blk and dress them up white faced niggers always whining,1
209,grizzboadams TAG haha ight nig calm yoself,1
210,grizzboadams fucking block your white ass because you try to start shit like a fucking queer so fuck you nigga,1
211,grizzboadams ight nigga haha fucking queer has to clear his schedule,1
212,grizzboadams roid rage much faggot,1
213,gutierrez alf legit retard,1
214,harveylevintmz TAG they want what i got i want what they got america they got the word nigger i want it to,1
215,heauxmersimpson i'm jus tryna vaca away from the niggers bro,1
216,heilsidious sion is a faggot very meh ganks pre and post his ganks are still pretty meh he's just a tank nothing special imo mao,1
217,herfarm TAG TAG your low info redneck dumbasses vote for these corporate shills that idiots like you believe TAG,1
218,herfarm move out of our country teabaggers,1
219,hollowdadonlom those god damn chinks,1
220,hovaa TAG TAG TAG TAG TAG TAG,1
221,hovaa ok wat ever u say whitey u prolly never even seen shaft,1
222,hovaa shut up lizard faggot nigger cunt,1
223,hovaa ya i know all the slang i'm racist i h porch monkies,1
224,huffingtonpost if the faggots can have a page y cant they faggots offend me more than them,1
225,huffingtonpost im american don't give shits about the beaners ship them beaners back,1
226,huffingtonpost y don't that bitch just shoot herself so sick of all those whores,1
227,hunglikerobby that was so gay and i was tanning bitch juvie made me white,1
228,huntermoore happy cuz i woke up white and not a nigger,1
229,huntermoore nigger,1
230,idisdummies can you speak one coherent sentence without sounding like a nig seriously,1
231,iggyazalea it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,1
232,iwanthis heart ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat,1
233,iamshady that's not even a real word must have hit a blunt and started making up shit with your nigger ass lol,1
234,iemonaids done that spell check we know you meant fat liberal dyke feminist nazi bitches,1
235,imtoblame you a fatherless wallet carrying ass video game playing ass negro breh you filth no way you can afford to date a TAG,1
236,im thirst randies are fags,1
237,impactparasite just fuckin roasted this faggot,1
238,intheovenjews TAG TAG we should hang out ovenjew have a lot in common people waste time on nigs jews r r problem,1
239,infidelalie that should read suck on my bacon encrusted middle finger muslim twats,1
240,itskeeshkapeesh yourself faggot buy a dictionary,1
241,itsmander TAG you can always gets da colored folk back in da cage wit da kfc,1
242,itsyour man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,1
243,jgardenofeden TAG TAG but country music listeners really are hicks and alcoholics,1
244,jmc TAG TAG and fuck you too ya little bitch you look like a mexican sucking a cock in ur profile,1
245,joltng niger,1
246,jpantsdotcom TAG TAG i'm partial faggot homo both fairly describes the same sick twisted assholes out there,1
247,jrise TAG what do you want fag,1
248,jrise TAG your a fag,1
249,jrise shut up you stupid bitch,1
250,jacobbbacker fag,1
251,jacobbbacker you don't know shit about me faggot bitch,1
252,jadegreenleaf fag,1
253,jaibrooks faggot,1
254,jaibrooks not funny u faggot,1
255,jaibrooks ur brother looks so queer and ugly,1
256,jasonmoriarty i remember his nephew lucas crying and dan saying quit being such a pussy and grow a pair or something dans so funny,1
257,jaytwofly TAG good leave you stupid faggot,1
258,jaytwofly huh lol mad nigger is mad,1
259,jewelsanddrugs TAG TAG lmao madonnas music sucks yeah you're fucking stupid if you think gaga is better retard,1
260,jimboberson happy birthday faggot,1
261,jizzatthescene and how am i assume shit hmm cuz u don't know what fuck u talking about crackers these days,1
262,joedouglas i guess blaspheme to your allah is ok if your pos muzzie huh TAG TAG TAG,1
263,joedouglas sit down and stfu raghead TAG TAG,1
264,joey d sweet comeback u fuckin herb i dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from nyc fag,1
265,juanyeeze damn took this dumb spic nearly days to respond wuz really good tho beaner,1
266,juanyeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga go listen to some pitbull,1
267,junglefeverfren fuck u nigger,1
268,klsouth TAG is an evil hate whitey racist who thinks delbert belton deserved it TAG TAG TAG,1
269,kamrenee ugly nigger,1
270,keebithalal TAG gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy,1
271,ken gth nahh whatever you are spook or spic i still don't like you good day,1
272,kenny wright TAG TAG so if your and in high school you dont have your own house you fucking faggot,1
273,kevin mcadams because ian's retarded,1
274,kinghov i got a dyke wit a child as whse mgr and she jus hired another girlboy dis week,1
275,king albert TAG u pulled that queer shit as spon as u put no homo lol,1
276,kuntakayne i have never seen such ignorant illiterate pieces of shit in my life bring in natl guard amp disperse this trash TAG,1
277,l ltr p fucking losers wetbacks TAG,1
278,legionary TAG now we have a ebloa case in texas if we kill all the niggers we might be safe,1
279,leonbaptist idk you into mouthy spics on welfare with kids and baby daddy's,1
280,levi page i don't bend that way queer thanks for the offer it's flattering,1
281,lexvan go back to nigeria faggot,1
282,lil a you're a coon,1
283,lobstrthinktank yeah me too my people the women laff at the set apart men they love the real niggas or niggers,1
284,lokihulibele TAG TAG they have mix not all are retards aap is maoists terrorists congies and delusional retards,1
285,lovelesslovely TAG hey aklve im taking out the black ghetto trash youre blocked nigger,1
286,makeanothahov t o was a faggot crybaby,1
287,mariancristinax you a fag b,1
288,markhalperin TAG TAG anything to trash this black president,1
289,matthometeam you know what you did you faggot there are literally thousands of people that have you on their radar homo,1
290,matt petrie geta life faggot,1
291,maxwell larsen your a cunt,1
292,mcwilliamsbrett shut your legs hoe,1
293,menachemdreyfus TAG TAG shit your ass and shabbat your moms pussy u jew bastard ur times coming heil hitler,1
294,milesm shut up coon,1
295,millerlite i don't follow you because everything about your company is white trash,1
296,mimistheone you really seem to love sandusky weirdo ur a creepy ass cracker,1
297,mimistheone stop trolling me u creepy ass cracker,1
298,misplaced momma she be what we say in da hood white trash,1
299,misplaced momma y all whitey gots to pay fo da preparations,1
300,montea rollin TAG i wasn't serious bitch bitch them niggas i named ain't fuccing witcho ass we all just making shit up,1
301,morbidmermaid i swear to god nigger you better still hang with me before work you got my hype,1
302,morbidmermaid do you work today niglet,1
303,mrmooncricket TAG TAG TAG TAG TAG ugly gay nigga bitch fucking peace of shit,1
304,mrmooncricket TAG TAG TAG TAG TAG y'all is coons n uncle toms,1
305,mrmooncricket TAG fuck you stupid ass coward ass punk bitch faggot ass racist piece of shit punk bitch ain't worth my time,1
306,mynameshouldbe only one problem theres a no pussies allowed sorry TAG,1
307,not ur bro TAG lmao nigga shoulda said i would be balless bc dat cold bitch wont stop blowin me #swaagg,1
308,nyrkelsmads TAG hey fag i said this was your aunts he said it was you,1
309,natlfascist TAG jews and white race traitors have to be swept clean so the aryan race can survive,1
310,newser big fucking deal cry baby niggers,1
311,nien nunb what did you search gay redneck episode play,1
312,notoriousbm TAG TAG your getting blocked faggot,1
313,nyjusdntgaf just like a nig to come home when ever they want,1
314,og harm TAG TAG look at this nigger ass nigger shit right here,1
315,ovotiluoverdose TAG niggers,1
316,officialskai dont tell me what to do fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot,1
317,officialskais kill yourself ugly ass monkey looking shit,1
318,ole boy TAG yes i'm white washed because i don't go around repping my hood and saying a bunch of ignorant nig terms,1
319,oskzilla fuck you fag,1
320,oskzilla fuck you niggah you gay lol,1
321,pablyandrew it was paul mccartney faggot,1
322,patdollard fuckin muzzie cunts should all be deported savages,1
323,patriotsorg screw the ragheads,1
324,paulmoon TAG TAG you fuckin yankees i'll be there in months i'll meet you pussy,1
325,pecan b TAG dryer then them bad ass eyes of your fag,1
326,po pdogg back up faggot,1
327,prayforjack new york niggas quick to take off on a bitch in public boy lol,1
328,princesslexii fucking coon,1
329,properetacet fuck your mother faggot,1
330,prophzilla i don't hate that he blew up from like a hipster but i hate the faggots who say they love his music based off his worst,1
331,quan t you retarded bruh lol,1
332,qui thepharaoh TAG TAG hes a lying faggot he used inspect element to change the number of dollars in his account,1
333,rsberto dumb haitian fake black faggots go to haiti and neck yourself,1
334,rabehchararah lmaoo what a fag,1
335,rednationblogga fuck those faggots,1
336,reiddh i agree my fellow cracker,1
337,repgutierrez you are full of it these so called children are not children they are illegal border jumpers ms gang members,1
338,repulsivetool and the only band that sucked worse live is those fags guns amp poses,1
339,reverendgrim TAG i likes dat name dem sand niggers needs to know dare place in da pecker order,1
340,revolutionuk jesus i would love to do that and more to those muzzie torturers fucking animal savages,1
341,richxinxflavor i'm not a fag gtfo,1
342,rileycooper so your a nigger fighter huh,1
343,rniswirvinn TAG no ur wrong stupid nigger,1
344,roscoedash lmao soft ass nigga trying to act all tough you a little bitch sit down and watch from the sidelines pussy,1
345,runuldorants faggot sack,1
346,rylannwilliams whooooo chelsey fuck her lol she juss a bitch,1
347,sammi boyden bruh we can finally roll like rednecks (': drug dealers,1
348,sammi boyden well he's a cunt and he can suck my ass,1
349,smasey you're such a faggot,1
350,snakehaid TAG TAG TAG TAG why ur profile a one armed nigger,1
351,staccs wnt fold you tell me coon,1
352,s roach happy birthday nicca do coon shit in a responsible way,1
353,sammytbh whats your youtube channel then faggot,1
354,sarakateee TAG i wouldn't be proud that faze is in your family he's horrible for one and two he's ugly trailer trash TAG,1
355,schulzgrayson TAG oh woulda coulda shoulda ass niggas bitch ass nigga what u bout oh ban wagging ass nigga catch your phase,1
356,scoutingforfifa TAG TAG TAG eye witness joel is a faggot,1
357,sexwith sockson faggot,1
358,shawnirwin okay closet fag,1
359,shmalec ya fag,1
360,shvkxir TAG TAG TAG ahmed and retard mikey for special olympic boxing,1
361,slimgirl probz das calld usen yo brain retard y would i whoop yo ass n front of da police,1
362,slothng i can guarantee a few things you're white you've never been anywhere near a real ghetto you or a relative is a pig,1
363,softestmuffin TAG TAG best believe we aint no christian slave brainwash black spooks miss white man unlike yoself she devil,1
364,softestmuffin TAG TAG at the end of the day they call yo dumb ass monkey picka'nanny hoe but u luv them white devils,1
365,softestmuffin TAG TAG will convince u that is a lame you a nigger liver believes it cuz you a nigger whore,1
366,soldier eaodgrn i don't give a flying fuck what a teabagger piece of human garbage like you thinks =),1
367,soldier eaodgrn you are a teabagger scum who wants to threaten people with his penis extender you are a danger to this country,1
368,sophiero if only there was a medal for that we hate fags but we won't kill them medal thank u for the privilege to let fags live,1
369,stanleystinks shame of you self-hating kike we jews are g-d's chosen people,1
370,staristhefuture you call TAG house nigger and she's the racist fathom the hypocrisy in that statement,1
371,starkfreeordie i fuckin want out gt i'm tired of this bullshit faggot ass closet racist wannabe-commune-without-railroad state gt TAG,1
372,stephyrae faggot,1
373,stephyrae is the biggest faggot in the world,1
374,sterm TAG just like when i call someone a nigger it's not because they're black it's about how they act like a nigger,1
375,stevestockmantx hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it they love stupid people,1
376,steven ratata bye youre a queer,1
377,stonisnipezz this is a joke right you're on here like ugh i wish i was a jap and tweeting in gook and shit and jerkin to hentai,1
378,sweetkixx u see a lame in that pic ofmine due to your infatuation with niggers im hebrew i fite the children of satan in the streets,1
379,sydneesmalling fuck miley tranny looking now damn ass nigga,1
380,theracistdoctor one less little nigger that would grow up into a big nigger,1
381,tanner harris i've been knowing fag,1
382,taylor faggot,1
383,thechicagobaker TAG TAG do birds have a out of wedlock rate is it white fathers that are running away,1
384,theerniie you're a little bitch,1
385,thekushzombie aww y u so mad tho a successful man lmfao hut hugging as faggot,1
386,therealcvl and TAG are faggots kbye,1
387,therealjrsmith and its people like you that give us all a bad name you are a disgusting piece of shit of a person a nigger is what you are,1
388,the red sea TAG say that shit to my face bruh you a bitch for gettin in a man u dont know business handle yo own shit,1
389,therealgeorgez you are a pussy without your guns bitch as spic your daddy doesn't even respect the sperm he drop in your moms stank pussy,1
390,tielermlg TAG TAG coming to the rescue of some retard licking dirty skidmarks on the internet you guys are fucktards,1
391,tretyler that's actually non-english because TAG are filthy white trash who are all criminals,1
392,treybizzy i thought you would like him cause of the chi but yeah he a faggot,1
393,tweetfrmthesole it s the entire pats bandwagon they re faggots,1
394,uberfacts studies show that you're a faggot,1
395,versanche only faggots drive stick,1
396,vexda go jerk off to lollis faggot,1
397,viewfromboxseat she's a cunt,1
398,vinniepolitan kill the coons,1
399,watch scenario yeah so you better play with me ya nigger,1
400,walmart fuck your store bitch,1
401,wendydavistexas TAG so you support illegals coming here and spreading disease among americans dream that bitch,1
402,whosjuly he's a faggot and i don't like him i'm on the other side of the state,1
403,woody afc TAG TAG fuck outta here faggot that wouldn't even be a fair,1
404,wyattnuckels TAG shut the fuck up fag ill beat the shit outta you,1
405,wyattnuckels insecure much put all you insults in one tweet fucking dumbass dude i'd wreck you you faggot,1
406,yeiiowbang i hate that faggot he so corny,1
407,yourdudeferg gay fags,1
408,yungrajee shit ill pay the premium to get away from these anything ass hoes,1
409,zaneisclasker the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro,1
410,zohdaa fags,1
411,zwaaad fag,1
412,andrizzy aw drake is do you sit in the corner and cry when you listen to him lmfao pussy dick rider how drakes cock taste faggot,1
413,c parris your picture makes you look like a serious fag TAG lol,1
414,goldwhippp faggots old people people who can't drive drunk people,1
415,iamken fuck brett farve redneck ass he stuckup he don't give a damn lol he be on campus acting like he the shit,1
416,iamken you'll make the team them niggas trash lol,1
417,nadiaxo fags,1
418,soulsurvivor TAG i dont have any problems with zak but you seem like a faggot,1
419,triggaplease TAG he's a faggot,1
420,turndowndre TAG TAG TAG that's true idk why your even in this convo you dumb nigger attention whore,1
421,turndowndre TAG lmao you stupid nigger,1
422,xoxokelsey hell naw fuck them bitches serves them right,1
423,black jesus yea i forgot i was talkin to a degenerate faggot,1
424,o faggot,1
425,hannerr you're a faggot,1
426,angelaaau hey fag i lt you,1
427,cblaze TAG TAG man bitch am not gonna do a damn thang if u don't like what i got to say then unfollow me,1
428,elennamichelle nope not at all but i'm stuck in a house full of fucking niggers help me escape,1
429,jeff hank TAG TAG TAG shut up nigger,1
430,n k nak status report making a pit stop in canada to rape bitches,1
431,westwest yall TAG woohoo new black kill cracker babies panthers to the rescue TAG TAG TAG TAG TAG,1
432,womanoverboard nigger,1
433,aasthaxoxo oh shut your mouth i was talkin about the morning you fag,1
434,aldofelix naw dude i wish they're white trash,1
435,alexissert leave dyke,1
436,allsportsbruh you say waste a draft pick on manziel when we have mallet that's why i'm telling you to delete your account you're retarded,1
437,alyssawiens faggot,1
438,amandabynes i can give you some of my clothes so you can look like a cute dyke,1
439,amarierubio chink eyed,1
440,aravosis may i jump in u ball-less dick-wad as a conservative feminist disabled vet bitch i wish u luck with a capital f TAG,1
441,ashhruggiero happy birthday queer,1
442,asshole king oh no they drafted that gay ass that come out on tv well u welcome to redskins nation no queers just a lot of niggers,1
443,asshole king pats owner is a kike,1
444,asshole king with pills that nig will last years like magic j that nig should hav died years ago y'all the first team to draft gay,1
